                                     | Core 0    
  Instructions                       |    1155158
  Cycles                             |     972642
  IPC                                |       1.19
  Time (ns)                          |     365655
  Idle time (ns)                     |      41765
  Idle time (%)                      |      11.4%
Branch predictor stats               |           
  num correct                        |     187570
  num incorrect                      |       8788
  misprediction rate                 |      4.48%
  mpki                               |       7.61
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     176013
    num misses                       |         25
    miss rate                        |      0.01%
    mpki                             |       0.02
  D-TLB                              |           
    num accesses                     |     363356
    num misses                       |        116
    miss rate                        |      0.03%
    mpki                             |       0.10
  L2 TLB                             |           
    num accesses                     |        141
    num misses                       |         45
    miss rate                        |     31.91%
    mpki                             |       0.04
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     176013
    num cache misses                 |        758
    miss rate                        |      0.43%
    mpki                             |       0.66
  Cache L1-D                         |           
    num cache accesses               |     363386
    num cache misses                 |        290
    miss rate                        |      0.08%
    mpki                             |       0.25
  Cache L2                           |           
    num cache accesses               |       1059
    num cache misses                 |        806
    miss rate                        |     76.11%
    mpki                             |       0.70
  Cache L3                           |           
    num cache accesses               |        817
    num cache misses                 |        740
    miss rate                        |     90.58%
    mpki                             |       0.64
DRAM summary                         |           
  num dram accesses                  |        740
  average dram access latency (ns)   |      78.87
  average dram queueing delay        |      25.44
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |         71
  num loads from dram cache          |          0
  num loads from remote cache        |          0
